city,date,tmean,month,year,tmean_normal,tmean_diff,tmean_direction
Albany,2025-05-01,13.670849800109863,5,2025,13.451499938964844,0.21934986114501953,warmer
Albany,2025-04-01,11.751249313354492,4,2025,10.174099922180176,1.5771493911743164,warmer
Albany,2025-03-01,9.224199295043945,3,2025,8.086699485778809,1.1374998092651367,warmer
Albany,2025-02-01,5.224699974060059,2,2025,6.240299701690674,1.0155997276306152,cooler
Albany,2025-01-01,3.813999891281128,1,2025,5.094599723815918,1.28059983253479,cooler
Albany,2024-12-01,5.833349704742432,12,2024,4.719099998474121,1.1142497062683105,warmer
Albany,2024-11-01,7.762299537658691,11,2024,7.567099571228027,0.19519996643066406,warmer
Albany,2024-10-01,12.777999877929688,10,2024,12.02929973602295,0.7487001419067383,warmer
Albany,2024-09-01,18.372400283813477,9,2024,17.08650016784668,1.2859001159667969,warmer
Albany,2024-08-01,20.357948303222656,8,2024,19.712400436401367,0.6455478668212891,warmer
Albany,2024-07-01,22.093250274658203,7,2024,19.627300262451172,2.4659500122070312,warmer
Albany,2024-06-01,16.796550750732422,6,2024,16.138500213623047,0.658050537109375,warmer
Albany,2024-05-01,12.988900184631348,5,2024,13.451499938964844,0.4625997543334961,cooler
Albany,2024-04-01,10.320849418640137,4,2024,10.174099922180176,0.14674949645996094,warmer
Albany,2024-03-01,8.262099266052246,3,2024,8.086699485778809,0.1753997802734375,warmer
Albany,2024-02-01,7.581699848175049,2,2024,6.240299701690674,1.341400146484375,warmer
Albany,2024-01-01,5.5742998123168945,1,2024,5.094599723815918,0.47970008850097656,warmer
Albany,2023-12-01,7.170699596405029,12,2023,4.719099998474121,2.451599597930908,warmer
Albany,2023-11-01,7.432600021362305,11,2023,7.567099571228027,0.13449954986572266,cooler
Albany,2023-10-01,12.877399444580078,10,2023,12.02929973602295,0.8480997085571289,warmer
Albany,2023-09-01,17.25269889831543,9,2023,17.08650016784668,0.16619873046875,warmer
Albany,2023-08-01,21.89349937438965,8,2023,19.712400436401367,2.1810989379882812,warmer
Albany,2023-07-01,20.89229965209961,7,2023,19.627300262451172,1.2649993896484375,warmer
Albany,2023-06-01,17.193199157714844,6,2023,16.138500213623047,1.0546989440917969,warmer
Albany,2023-05-01,15.433199882507324,5,2023,13.451499938964844,1.9816999435424805,warmer
Albany,2023-04-01,9.420599937438965,4,2023,10.174099922180176,0.7534999847412109,cooler
Albany,2023-03-01,5.759199619293213,3,2023,8.086699485778809,2.3274998664855957,cooler
Albany,2023-02-01,4.088699817657471,2,2023,6.240299701690674,2.151599884033203,cooler
Albany,2023-01-01,5.431600093841553,1,2023,5.094599723815918,0.33700037002563477,warmer
Albany,2022-12-01,4.226200103759766,12,2022,4.719099998474121,0.49289989471435547,cooler
Albany,2022-11-01,5.223899841308594,11,2022,7.567099571228027,2.3431997299194336,cooler
Albany,2022-10-01,14.412799835205078,10,2022,12.02929973602295,2.383500099182129,warmer
Albany,2022-09-01,18.674699783325195,9,2022,17.08650016784668,1.5881996154785156,warmer
Albany,2022-08-01,21.351699829101562,8,2022,19.712400436401367,1.6392993927001953,warmer
Albany,2022-07-01,20.605600357055664,7,2022,19.627300262451172,0.9783000946044922,warmer
Albany,2022-06-01,16.3612003326416,6,2022,16.138500213623047,0.2227001190185547,warmer
Albany,2022-05-01,11.847599983215332,5,2022,13.451499938964844,1.6038999557495117,cooler
Albany,2022-04-01,8.110499382019043,4,2022,10.174099922180176,2.063600540161133,cooler
Albany,2022-03-01,8.820899963378906,3,2022,8.086699485778809,0.7342004776000977,warmer
Albany,2022-02-01,5.187299728393555,2,2022,6.240299701690674,1.0529999732971191,cooler
Albany,2022-01-01,4.6350998878479,1,2022,5.094599723815918,0.4594998359680176,cooler
Albany,2021-12-01,4.983299732208252,12,2021,4.719099998474121,0.26419973373413086,warmer
Albany,2021-11-01,9.188799858093262,11,2021,7.567099571228027,1.6217002868652344,warmer
Albany,2021-10-01,11.390199661254883,10,2021,12.02929973602295,0.6391000747680664,cooler
Albany,2021-09-01,17.315698623657227,9,2021,17.08650016784668,0.22919845581054688,warmer
Albany,2021-08-01,21.149398803710938,8,2021,19.712400436401367,1.4369983673095703,warmer
Albany,2021-07-01,21.271699905395508,7,2021,19.627300262451172,1.644399642944336,warmer
Albany,2021-06-01,19.350099563598633,6,2021,16.138500213623047,3.211599349975586,warmer
Albany,2021-05-01,13.513400077819824,5,2021,13.451499938964844,0.06190013885498047,warmer
Albany,2021-04-01,10.894800186157227,4,2021,10.174099922180176,0.7207002639770508,warmer
Albany,2021-03-01,6.748799800872803,3,2021,8.086699485778809,1.3378996849060059,cooler
Albany,2021-02-01,5.6915998458862305,2,2021,6.240299701690674,0.5486998558044434,cooler
Albany,2021-01-01,6.297499656677246,1,2021,5.094599723815918,1.2028999328613281,warmer
Albany,2020-12-01,5.443399906158447,12,2020,4.719099998474121,0.7242999076843262,warmer
Albany,2020-11-01,6.734399795532227,11,2020,7.567099571228027,0.8326997756958008,cooler
Albany,2020-10-01,12.30739974975586,10,2020,12.02929973602295,0.27810001373291016,warmer
Albany,2020-09-01,17.83099937438965,9,2020,17.08650016784668,0.74449920654296875,warmer
Albany,2020-08-01,19.916500091552734,8,2020,19.712400436401367,0.2040996551513672,warmer
Albany,2020-07-01,19.6304988861084,7,2020,19.627300262451172,0.0031986236572265625,warmer
Albany,2020-06-01,16.410499572753906,6,2020,16.138500213623047,0.2719993591308594,warmer
Albany,2020-05-01,13.973899841308594,5,2020,13.451499938964844,0.52239990234375,warmer
Albany,2020-04-01,10.794499397277832,4,2020,10.174099922180176,0.62039947509765625,warmer
Albany,2020-03-01,6.833499908447266,3,2020,8.086699485778809,1.253199577331543,cooler
Albany,2020-02-01,5.878999710083008,2,2020,6.240299701690674,0.361299991607666,cooler
Albany,2020-01-01,6.996000289916992,1,2020,5.094599723815918,1.9014005661010742,warmer
Albany,2019-12-01,4.962899684906006,12,2019,4.719099998474121,0.24379968643188477,warmer
Albany,2019-11-01,6.931399822235107,11,2019,7.567099571228027,0.6356997489929199,cooler
Albany,2019-10-01,9.483399391174316,10,2019,12.02929973602295,2.545900344848633,cooler
Albany,2019-09-01,16.756000518798828,9,2019,17.08650016784668,0.33049964904785156,cooler
