city,date,tmean
Portland,2024-12-01,6.877650260925293
Portland,2025-01-01,4.76924991607666
Portland,2025-02-01,5.449399948120117
Portland,2025-03-01,9.873600006103516
Portland,2025-04-01,12.374448776245117
Portland,2025-05-01,14.99799919128418
Portland,1995-01-01,6.506000518798828
Portland,1995-02-01,8.342000007629395
Portland,1995-03-01,8.9660005569458
Portland,1995-04-01,10.487000465393066
Portland,1995-05-01,15.649001121520996
Portland,1995-06-01,17.01300048828125
Portland,1995-07-01,20.91200065612793
Portland,1995-08-01,19.02400016784668
Portland,1995-09-01,19.220001220703125
Portland,1995-10-01,12.51300048828125
Portland,1995-11-01,10.839000701904297
Portland,1995-12-01,6.003000259399414
Portland,1996-01-01,5.302000045776367
Portland,1996-02-01,5.302000045776367
Portland,1996-03-01,8.918000221252441
Portland,1996-04-01,11.617000579833984
Portland,1996-05-01,12.60400104522705
Portland,1996-06-01,17.012001037597656
Portland,1996-07-01,21.652000427246094
Portland,1996-08-01,20.487001419067383
Portland,1996-09-01,16.111000061035156
Portland,1996-10-01,12.218000411987305
Portland,1996-11-01,7.532000541687012
Portland,1996-12-01,5.360000133514404
Portland,1997-01-01,5.129000186920166
Portland,1997-02-01,6.508000373840332
Portland,1997-03-01,8.145000457763672
Portland,1997-04-01,10.405000686645508
Portland,1997-05-01,16.51500129699707
Portland,1997-06-01,16.79800033569336
Portland,1997-07-01,19.772001266479492
Portland,1997-08-01,21.60300064086914
Portland,1997-09-01,18.617000579833984
Portland,1997-10-01,11.955000877380371
Portland,1997-11-01,10.181000709533691
Portland,1997-12-01,4.940000057220459
Portland,1998-01-01,6.235000133514404
Portland,1998-02-01,8.086000442504883
Portland,1998-03-01,9.41100025177002
Portland,1998-04-01,10.963000297546387
Portland,1998-05-01,13.494000434875488
Portland,1998-06-01,17.213001251220703
Portland,1998-07-01,21.178001403808594
Portland,1998-08-01,20.7450008392334
Portland,1998-09-01,19.14900016784668
Portland,1998-10-01,12.535000801086426
Portland,1998-11-01,9.06100082397461
Portland,1998-12-01,4.573000431060791
Portland,1999-01-01,5.838000297546387
Portland,1999-02-01,6.442000389099121
Portland,1999-03-01,7.512000560760498
Portland,1999-04-01,9.9660005569458
Portland,1999-05-01,12.141000747680664
Portland,1999-06-01,15.642001152038574
Portland,1999-07-01,18.763999938964844
Portland,1999-08-01,20.211000442504883
Portland,1999-09-01,17.83700180053711
Portland,1999-10-01,12.671000480651855
Portland,1999-11-01,10.016000747680664
Portland,1999-12-01,7.867000579833984
Portland,2000-01-01,4.534000396728516
Portland,2000-02-01,6.561000347137451
Portland,2000-03-01,7.430000305175781
Portland,2000-04-01,11.960000991821289
Portland,2000-05-01,13.918000221252441
Portland,2000-06-01,17.475000381469727
Portland,2000-07-01,19.267000198364258
Portland,2000-08-01,19.405000686645508
Portland,2000-09-01,17.10700035095215
Portland,2000-10-01,12.709000587463379
Portland,2000-11-01,6.00100040435791
Portland,2000-12-01,4.831000328063965
Portland,2001-01-01,5.311000347137451
Portland,2001-02-01,5.63800048828125
Portland,2001-03-01,8.672000885009766
Portland,2001-04-01,9.520000457763672
Portland,2001-05-01,14.470000267028809
Portland,2001-06-01,15.754000663757324
Portland,2001-07-01,18.677000045776367
Portland,2001-08-01,20.174001693725586
Portland,2001-09-01,17.876001358032227
Portland,2001-10-01,11.961000442504883
Portland,2001-11-01,8.980000495910645
Portland,2001-12-01,5.591000080108643
Portland,2002-01-01,5.248000144958496
Portland,2002-02-01,7.123000144958496
Portland,2002-03-01,6.833000183105469
Portland,2002-04-01,10.981000900268555
Portland,2002-05-01,12.770000457763672
Portland,2002-06-01,17.645999908447266
Portland,2002-07-01,20.486000061035156
Portland,2002-08-01,19.953001022338867
Portland,2002-09-01,17.96000099182129
Portland,2002-10-01,12.256000518798828
Portland,2002-11-01,8.815000534057617
Portland,2002-12-01,6.485000133514404
Portland,2003-01-01,7.464000225067139
Portland,2003-02-01,7.1020002365112305
Portland,2003-03-01,9.068000793457031
Portland,2003-04-01,10.13900089263916
Portland,2003-05-01,13.706000328063965
Portland,2003-06-01,18.488000869750977
Portland,2003-07-01,21.325000762939453
Portland,2003-08-01,20.678001403808594
Portland,2003-09-01,18.84800148010254
Portland,2003-10-01,14.360000610351562
Portland,2003-11-01,6.836000442504883
Portland,2003-12-01,5.817000389099121
Portland,2004-01-01,3.2680001258850098
Portland,2004-02-01,7.299000263214111
Portland,2004-03-01,10.443000793457031
Portland,2004-04-01,12.672000885009766
Portland,2004-05-01,14.987000465393066
Portland,2004-06-01,17.704999923706055
Portland,2004-07-01,21.3700008392334
Portland,2004-08-01,21.32000160217285
Portland,2004-09-01,16.76300048828125
Portland,2004-10-01,13.12700080871582
Portland,2004-11-01,7.6080002784729
Portland,2004-12-01,6.366000175476074
Portland,2005-01-01,5.857000350952148
Portland,2005-02-01,6.659000396728516
Portland,2005-03-01,9.9720001220703125
Portland,2005-04-01,10.89900016784668
Portland,2005-05-01,15.308000564575195
Portland,2005-06-01,15.797000885009766
Portland,2005-07-01,20.517000198364258
Portland,2005-08-01,20.64000129699707
Portland,2005-09-01,16.444000244140625
Portland,2005-10-01,13.0260009765625
Portland,2005-11-01,6.902000427246094
Portland,2005-12-01,4.2310004234313965
Portland,2006-01-01,7.035000324249268
Portland,2006-02-01,5.6050004959106445
Portland,2006-03-01,7.555000305175781
Portland,2006-04-01,11.46500015258789
Portland,2006-05-01,14.255001068115234
Portland,2006-06-01,18.21000099182129
Portland,2006-07-01,20.661001205444336
Portland,2006-08-01,19.838001251220703
