month,tmean
1,5.076699733734131
2,6.206399917602539
3,8.034699440002441
4,10.074699401855469
5,13.341300010681152
6,16.067899703979492
7,19.54469871520996
8,19.65719985961914
9,17.028400421142578
10,11.977399826049805
11,7.540799617767334
12,4.712299823760986
